epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1559.19,0.4974,0.26332,0.80572,0.93417,0.95043,0.96197,0.77759,0.52085,0.26413,0.80407,0.000120238,0.000120238,0.000120238
86,1576.91,0.48709,0.25674,0.8037,0.94888,0.9382,0.96481,0.78081,0.51903,0.26187,0.80276,0.000113169,0.000113169,0.000113169
87,1594.26,0.48888,0.25666,0.80229,0.93431,0.95536,0.96434,0.78121,0.53071,0.26429,0.805,0.0001061,0.0001061,0.0001061
88,1611.53,0.48451,0.25559,0.80424,0.95148,0.93793,0.95925,0.78241,0.51704,0.25906,0.80367,9.90318e-05,9.90318e-05,9.90318e-05
89,1629.15,0.47693,0.25475,0.80046,0.94616,0.95391,0.96532,0.77962,0.52187,0.26175,0.80314,9.19632e-05,9.19632e-05,9.19632e-05
90,1646.5,0.47748,0.25453,0.80228,0.94894,0.95337,0.96847,0.77747,0.53201,0.26219,0.80383,8.48946e-05,8.48946e-05,8.48946e-05
91,1671.66,0.45307,0.24478,0.79928,0.94229,0.96633,0.96926,0.76356,0.52235,0.26371,0.80064,7.7826e-05,7.7826e-05,7.7826e-05
92,1688.16,0.42654,0.2349,0.79717,0.94334,0.94776,0.96252,0.77183,0.5216,0.26478,0.80145,7.07574e-05,7.07574e-05,7.07574e-05
93,1705.13,0.42505,0.23335,0.79756,0.95063,0.95757,0.96966,0.77171,0.5175,0.26356,0.80161,6.36888e-05,6.36888e-05,6.36888e-05
94,1723.06,0.41847,0.2285,0.79491,0.94725,0.9533,0.96803,0.77853,0.51112,0.26217,0.80125,5.66202e-05,5.66202e-05,5.66202e-05
95,1740.18,0.41261,0.22706,0.79504,0.95554,0.94805,0.9693,0.77643,0.512,0.2612,0.80195,4.95516e-05,4.95516e-05,4.95516e-05
96,1758.75,0.40442,0.22544,0.79378,0.95045,0.94312,0.96648,0.78041,0.5065,0.25674,0.80213,4.2483e-05,4.2483e-05,4.2483e-05
97,1775.49,0.40565,0.22396,0.79526,0.95552,0.9418,0.96642,0.78597,0.50596,0.2568,0.80201,3.54144e-05,3.54144e-05,3.54144e-05
98,1793.32,0.39984,0.22166,0.79422,0.96036,0.9459,0.97183,0.78191,0.51145,0.25878,0.80084,2.83458e-05,2.83458e-05,2.83458e-05
99,1810.5,0.39593,0.21892,0.79301,0.94943,0.96037,0.97146,0.78513,0.50241,0.25421,0.80105,2.12772e-05,2.12772e-05,2.12772e-05
100,1828.08,0.39312,0.21833,0.79534,0.94471,0.96424,0.97158,0.78792,0.50485,0.25641,0.8015,1.42086e-05,1.42086e-05,1.42086e-05
